question_id,question,option_A,option_B,option_C,option_D,correct_option,correct_text
231339,Câu 1: The roads _____ before you get to the roundabout.,A blend,B converge,C mingle,D mix,B,converge
231340,Câu 2: He poured the tea from his cup into his _____ and then drank it.,A dish,B pan,C saucer,D plate,C,saucer
231341,"Câu 3: I’d like to go to Thailand, _____ it’s by no means the only country in the world I want to see.",A as,B how,C while,D yet,D,yet
231342,"Câu 4: In my mother’s _____, it is essential to eat a big breakfast.",A opinion,B idea,C confidence,D principle,A,opinion
231343,Câu 5: He decided to sell his farm and _____ a fresh start in business.,A open,B make,C take,D lead,B,make
231344,Câu 6: The new system of railways will be of great _____ to the country.,A profit,B advantage,C use,D service,,advantage
231345,Câu 7: The man threatened to _____ the boy if he didn’t give him the money.,A pinch,B hit,C stab,D knock,B,hit
231346,Câu 8: The door suddenly blew open and the man’s hat _____ against the wall.,A hit,B banged,C struck,D knocked,,banged
231347,"Câu 9: He tried hard, and at last he _____ the first prize.",A earned,B won,C gained,D received,B,won
231348,Câu 10: The recent cholera _____ in the village has caused great alarm.,A break-out,B outcome,C outbreak,D break-in,C,outbreak
231319,Câu 1: At last he had found someone on whom he could vent his _____.,A anger,B love,C happiness,D trust,A,anger
231320,"Câu 2: Before we had the _____ cleaned, the sitting-room used to fill with smoke.",A chimney,B passage,C tube,D pipe,A,chimney
231321,Câu 3: One wonders whether the current political _____ is right for such a move.,A environment,B climate,C state,D standpoint,B,climate
231322,"Câu 4: Jean has become _____ to Roger, and the wedding will be in August.",A proposed,B offered,C engaged,D settled,C,engaged
231323,Câu 5: The plans for the building were drawn _____ a few months ago.,A on,B back,C out,D up,D,up
231324,Câu 6: It was so cold that the water in the river _____ to ice.,A formed,B settled,C became,D turned,D,turned
231325,Câu 7: The President’s action only served to _____ a situation which was already extremely serious.,A exacerbate,B exasperate,C irritate,D erupt,A,exacerbate
231326,Câu 8: The noise was caused by a dog _____ a cat through the garden.,A catching,B fighting,C following,D chasing,,catching
231327,"Câu 9: Geoff _____ up the stairs trying not to disturb anyone, but a creaking floorboard woke up his mother.",A strutted,B tiptoed,C limped,D trudged,B,tiptoed
231328,"Câu 10: She loves travelling, and it is her _____ to travel round the world.",A anxiety,B tendency,C insistence,D ambition,D,ambition
231329,Câu 11: I hear that miniskirts are coming back into fashion. I wonder if they’ll really catch _____ again.,A up,B out,C on,D hold,C,on
231330,"Câu 12: When I saw Jane, I stopped and smiled, but she _____ me and walked on.",A refused,B ignored,C omitted,D denied,B,ignored
231331,"Câu 13: Before you start cooking, you should gather together all the necessary _____.",A components,B constituents,C elements,D ingredients,D,ingredients
231332,"Câu 14: If you’ve got time for a cup of tea, I’ll _____ one for you.",A make,B mix,C boil,D give,A,make
231333,"Câu 15: When the _____ starts touching eighty k.p.h., the dial lights up, warning you to drive more slowly if necessary.",A arm,B needle,C pointer,D hand,B,needle
231334,Câu 16: He was last seen in public on the _____ of his daughter’s wedding.,A event,B occasion,C change,D affair,B,occasion
231335,Câu 17: I haven’t a _____ what the Professor is talking about most of the time.,A yen,B guess,C clue,D thought,C,clue
231336,Câu 18: Betty is quite _____ of cooking a meal for twelve people.,A clever,B expert,C efficient,D capable,,capable
231337,"Câu 19: He was _____ with robbery, found guilty and sent to prison.",A accused,B charged,C convicted,D sentenced,B,charged
231338,Câu 20: She’s not really poor; she just _____ to be poor.,A invents,B acts,C pretends,D imagines,C,pretends
231309,"Câu 1: We need to buy a new car. _____, we can't afford it right now.",A. Although,B. So,C. However,,C,However
231310,"Câu 2: ........... he is very rich and famous, he lives a very normal life.",A. Although,B. However,C. Because,,A,Although
231311,Câu 3: They had to cancel the concert _____ the bad weather.,A. so,B. because of,C. however,,B,because of
231312,Câu 4: We'll go out ______ it stops raining.,A. although,B. while,C. as soon as,,C,as soon as
231313,"Câu 5: He didn't have his car, _____ he had to take a taxi.",A. because,B. so,C. however,,B,so
231314,"Câu 6: _____ he was almost deaf, he was a fantastic musician.",A. Although,B.However,C. Because,,A,Although
231315,Câu 7: He was expelled from school _____ his bad behaviour.,A. although,B. however,C. because of,,C,because of
231316,"Câu 8: _____ she has a bit more experience, she'll become a fantastic teacher.",A. Once,B. Before,C. While,,A,Once
231317,"Câu 9: The first thing I do when I get up is have breakfast. ______, I have a shower and go to work.",A. After,B. Before,C. After that,,C,After that
231318,Câu 10: I usually read the newspaper ______ I'm having breakfast.,A. while,B. after,C. as soon as,,A,while
231299,"Câu 1: We couldn't find a taxi, ............... we walked home.",A. But,B. So,C. Because,D. Although,B,So
231300,"Câu 2: ............. it was very cold, she wasn't wearing a coat.",A. But,B. So,C. Because,D. Although,D,Although
231301,Câu 3: I woke up ................ there was a noise.,A. But,B. So,C. Because,D. Although,C,Because
231302,Câu 4: I called him.................. his mobile was turned off.,A. So,B. Because,C. But,,C,But
231303,"Câu 5: ................. she's very nice, she doesn't have many friends.",A. Because,B. But,C. Although,D. So,C,Although
231304,"Câu 6: There was nothing on TV,....................... I went to bed.",A. Because,B. Although,C. But,D. So,D,So
231305,Câu 7: All the cafés were full ............. it was a public holiday.,A. Because,B. Although,C. But,D. So,A,Because
231306,Câu 8: She studied quite hard............. she failed the exam.,A. But,B. Because,C. So,,A,But
231307,Câu 9: She was crying.............. her team lost the match.,A. But,B. So,C. Because,D. Although,C,Because
231308,Câu 10: They wanted to win...................... it was impossible.,A. So,B. Because,C. But,,C,But
231279,"Câu 1: Conditions today didn’t suit this jockey, but the course tomorrow should be much more to his ___.",A liking,B approval,C talent,D benefit,A,liking
231280,Câu 2: Automation in factories has made many ___ workers redundant.,A manual,B hand,C hard,D manufacturing,A,manual
231281,Câu 3: The fumes were so thick that she was ___ for breath.,A suffocating,B gasping,C inhaling,D wheezing,B,gasping
231282,Câu 4: As the drug took ___ the patient became quieter.,A force,B influence,C action,D effect,D,effect
