question_id,question,option_A,option_B,option_C,option_D,correct_option,correct_text
6092,Câu 1: My students’ phones are always ringing----------- my lessons!,A. during,B. for,C. while,D. at,,
6093,Câu 2: Why does the telephone always ring ---------- you’re having a bath?,A. during,B. for,C. while,D. on,,
6094,Câu 3: They say drinking a little red wine is good ----------- you.,A. for,B. at,C. to,D. by,,
6095,Câu 4: Small children always get excited -------- Christmas.,A. with,B. for,C. in,D. at,,
6096,Câu 5: Paris is famous --------- being a romantic city. a. to&nbsp; &nbsp; b. for&nbsp; &nbsp;c. from&nbsp; &nbsp; d. with&nbsp;,A. to,B. for,C. from,D. with,,
6097,Câu 6: She’s played the piano ---------- she was little.,A. when,B. from,C. since,D. for,,
6098,Câu 7: Dubai is so different ----------- any otherplaces I know.,A. with,B. away,C. between,D. from,,
6099,Câu 8: &nbsp;If I --------- a flower I would be a sunflower.,A. am,B. were,C. had been,D. will be,,
6100,Câu 9: He should have a word ------------ his company.,A. to,B. with,C. at,D. toward,,
6101,Câu 10: &nbsp;I’ve always enjoy ------------.,A. dancing,B. dance,C. to dance,D. danced,,
6102,Câu 11: &nbsp;I’ve never forgot ----------- flamenco for the first time.,A. to see,B. see,C. seeing,D. saw,,
6103,Câu 12: &nbsp;I couldn’t stop ---------- about buying a laptop.,A. think,B. to think,C. thought,D. thinking,,
6104,Câu 13: Now I’ve decided --------- how to do it.,A. learning,B. learn,C. to learn,D. learnt,,
6105,Câu 14: My friend has promised ---------- me some steps.,A. to teach,B. teach,C. teaching,D. taught,,
6106,Câu 15: She’s going to let me ---------- her shoes.,A. to borrow,B. borrowing,C. borrow,D. borrowed,,
6107,Câu 16: I’m really looking forward to ------------ my parents.,A. meet,B. meeting,C. the meeting,D. be met,,
6108,Câu 17: I’ll need ------- some music to dance to.,A. buy,B. to buy,C. buying,D. be bought,,
6109,Câu 18: I’m thinking of ------------ to Spain next month.,A. go,B. going,C. to go,D. been to,,
6110,Câu 19: I hope ----------- to dance by then.,A. being able,B. to be able,C. be able,D. able,,
6111,Câu 20: &nbsp;Small children have big -------------.,A. imagination,B. imagine,C. imaginary,D. imaginative,,
6112,"Câu 21: When I was a small boy, Christmas was very --------.",A. exciting,B. excite,C. excited,D. excitement,,
6113,Câu 22: Many --------- believe dreams help us to understand our lives.,A. psychologists,B. psychology,C. psychological,D. psyche,,
6114,"Câu 23: My car is very ------------, it uses very little petrol.",A. economic,B. economical,C. economist,D. economy,,
6115,Câu 24: We haven’t got ------- flour for dinner.,A. some,B. any,C. little,D. a,,
6116,Câu 25: I didn’t enjoy -------- book you lent me.,A. a,B. an,C. some,D. the,,
