question_id,question,option_A,option_B,option_C,option_D,correct_option,correct_text
200261,Câu 1. What _____ for dinner?,A. do you usually have,B. are you usually having,C. are you usually going to have,D. does you usually have,,
200262,Câu 2. The population of China _____ more and more.,A. increases,B. increase,C. is increasing,D. are increasing,,
200263,Câu 3. Listen! The teacher _____,A. speaks,B. is speaking,C. speak,D. are speaking,,
200264,Câu 4. I _____ to school by bus every day.,A. goes,B. am going,C. go,D. is going,,
200265,Câu 5. I _____ drinking apple juice.,A. like,B. am liking,C. likes,,,
200266,"Câu 6. My brother often goes to school by bus, but today he _____ to school by bike.",A. goes,B. is going,C. go,D. are going,,
200267,Câu 7. They _____ with us at the moment.,A. is staying,B. staying,C. stay,D. are staying,,
200268,Câu 8. _____ Peter _____ Mary?,A. Does – know,B. Is – knowing,C. Does – knows,D. Do – knows,,
200269,Câu 9. I usually _____ shopping with my mother on Sundays.,A. am going,B. goes,C. go,D. is going,,
200270,"Câu 10. I _____ for a bicycle, but I can’t find anything good.",A. am looking,B. look,C. looks,D. is looking,,
200271,Câu 11. Look! He (leave) _____ the house.,A. leaves,B. is leaving,C. leave,D. are leaving,,
200272,Câu 12. Quiet please! I (write) _____ a test.,A. write,B. am writing,C. writes,D. is writing,,
200273,Câu 13. She usually (walk) _____ to school.,B. is walking,C. walk,D. are walking,,,
200274,Câu 14. But look! Today she (go) _____ by bike.,A. goes,B. is going,C. go,D. are going,,
200275,Câu 15. Every Sunday we (go) _____ to see my grandparents.,A. is going,B. are going,C. goes,D. go,,
200276,Câu 16. He often (go) _____ to the cinema.,A. is going,B. goes,C. go,D. are going,,
200277,Câu 17. We (play) _____ Monopoly at the moment.,A. play,B. are playing,C. plays,D. is playing,,
200278,Câu 18. The child seldom (cry) _____,A. cry,B. is crying,C. cries,D. are crying,,
200279,Câu 19. I (not/ do) _____ anything at the moment.,A. do not,B. am not doing,C. does not,D. isn’t doing,,
200280,Câu 20. (watch/ he) _____ the news regularly?,A. Are he watching,B. Is he watching,C. Do he watch,D. Does he watch,,
200201,Câu 1. The preparation______ by the time the guest______,A. had been finished- arrived,B. have finished- arrived,C. had finished-were arriving,D. have been finished- were arrived,,
200202,Câu 2. The boy_________ by the teacher yesterday.,A. punish,B. punished,C. punishing,D. was punished,,
200203,"Câu 3. “Ms Jones, please type those letters before noon” “They’ve already _____, sir. They’re on your desk.”",A. typed,B. been being typed,C. being typed,D. been typed,,
200204,Câu 4. Sarah is wearing a blouse. It___________ of cotton.,A. be made,B. are made,C. is made,D. made,,
200205,Câu 5. They had a boy _________ that yesterday.,A. done,B. to do,C. did,D. do,,
200206,Câu 6. We got our mail _________ yesterday.,A. been delivered,B. delivered,C. delivering,D. to deliver,,
200207,Câu 7. James __________ the news as soon as possible.,A. should tell,B. should be told,C. should told,D. should be telled,,
200208,Câu 8. My wedding ring _________ yellow and white gold.,A. is made,B. is making,C. made,D. make,,
200209,Câu 9. Mr. Wilson is _________ as Willie to his friend.,A. known,B. knew,C. is known,D. know,,
200210,Câu 10. References _________ in the examination room.,A. not are used,B. is not used,C. didn’t used,D. are not used,,
200211,Câu 11. Laura _________ in Boston.,A. are born,B. were born,C. was born,D. born,,
200212,Câu 12. His car needs _________,A. be fixed,B. fixing,C. to be fixing,D. fixed,,
200213,Câu 13. Her watch needs _________.,A. repairing,B. to be repaired,C. repaired,D. A and B,,
200214,Câu 14. My mother is going _________ this house.,A. sold,B. sell,C. to be sold,D. to sell,,
200215,Câu 15. There’s somebody behind us. I think we are _________.,A. being followed,B. are followed,C. follow,D. following,,
200216,Câu 16. Have you _________ by a dog?,A. bite,B. bit,C. ever been bitten,D. ever been bit,,
200217,Câu 17. The room is being _________ at the moment.,A. was cleaned,B. cleaned,C. cleaning,D. clean,,
200218,Câu 18. It _________ that the strike will end soon.,A. is expected,B. expected,C. are expected,D. was expected,,
200219,Câu 19. It is _________ that many people are homeless after the floods.,A. was reported,B. reports,C. reported,D. reporting,,
